Sample Name	Ag	Al	As	Au	B	Ba	Bi	C	Ca	Cd	Ce	Co	Cr	Cu	ENA	Fe	Ga	Ge	H	Hf	Hg	In	La	Mg	Mn	Mo	N	Nb	Nd	Ni	O	P	Pb	Pd	Pr	Pt	Re	Rh	S	Sb	Sc	Se	Si	Sm	Sn	Sol_Al	Sol_B	Sol_Ca	Sol_Ti	Sr	Ta	Te	Th	Ti	Tl	V	W	Y	Zn	Zr	Column1
MBH 8110H/B		0.016	0.049					0.654					13.772	0.103		76.69									0.503	2.682	0.032			4.02		0.05							0.047	0.005			0.832		0.021									0.048		0.476					
MBH AR1F								2.94					7.84			81.847									1.03					4.15		0.09							0.083				2.02																		
MBH AR2E								3.32					7.86			79.3									0.33					7		0.4							0.22				1.57																		
MBH AR3D								3.2					7.02			82.05									0.55					5.28													1.9																		
MBH AR4F								2.85					7.96			81.81									0.55					5.1													1.73																		
MBH AR5D								3.02					8.9			80.63									0.52					5.2													1.73																		
MBH AR5J		0.018			0.00005			3.1			0.0002	0.00005	9.73	0.032		79.4018								0.00005	0.57	0.12		0.03		5.16		0.0299	0.003						0.0316				1.7											0.0147		0.0586			0.00005		
MBH C10B		0.019	0.014					3.6					0.254	0.66		91.849									0.634	0.328	0.0072			0.247		0.111	0.007						0.144	0.007			1.69		0.0346									0.0317		0.0275	0.335				
MBH C1G		0.003	0.01		0.005			2.7	0.01		0.01	0.08	0.17	0.21		92.003								0.02	1.3	0.01		0.01		0.53		0.14	0.005						0.064	0.05			2.36		0.02									0.14		0.1	0.04			0.01	
MBH C2H		0.05	0.056		0.001			3.09	0.0009		0.01	0.09	1.13	0.2		89.9721								0.01	1.22	0.16		0.01		1.7		0.34	0.003						0.107	0.07			1.26		0.05									0.05		0.35	0.06			0.01	
MBH C3AA		0.099	0.095		0.0046		0.008	3.384				0.242	1.97	0.34		87.0168									0.664	0.204	0.0095	0.148		2.95		0.489	0.04						0.15	0.237		0.009	0.975		0.198									0.048		0.652	0.054		0.0131		
MBH C3N		0.16	0.03		0.001			3.57	0.0002		0.02	0.18	1.88	0.06		87.0838								0.01	0.63	0.18		0.01		3.15		0.41	0.011						0.044	0.44			1.1		0.16									0.03		0.81	0.02			0.01	
MBH C3Y		0.007	0.084				0.0007	3.46	0.00005			0.28	2.14	0.032		87.3179								0.00005	0.6	0.2	0.01	0.13		3.22		0.41							0.108	0.21			0.87		0.18							0.0013		0.025		0.65	0.04		0.021	0.003	
MBH C3Z		0.015	0.12		0.0028		0.0018	3.27				0.376	2.43	0.431		85.0066									0.797	0.235		0.186		4.14		0.387	0.0076						0.152	0.264		0.0026	0.994		0.236							0.0024		0.071		0.796	0.054		0.0111	0.0111	
MBH C4H		0.04	0.01		0.005			1.75	0.01		0.02	0.013	1.3	0.08		86.919								0.1	0.6	0.09		0.01		2.26		0.12	0.02						0.033	0.01			6.4		0.01									0.09		0.02	0.08			0.01	
MBH C4Q		0.032	0.0103		0.018		0.005	1.89		  0.00014000		0.0175	1.5	0.342		89.36436									0.651	0.114		0.072		2.41		0.111	0.0155						0.138	0.011		0.003	3.02		0.0207							0.001		0.091		0.0233	0.122		0.0112	0.006	
MBH C5K		0.02	0.02		0.005			2.4	0.01		0.01	0.04	0.94	0.51		90.805								0.02	0.7	0.47		0.01		1.22		0.12	0.02						0.12	0.02			2.3		0.03									0.11		0.06	0.03			0.01	
MBH C6J		0.01	0.04		0.005			2.95	0.01		0.01	0.07	0.5	1.03		92.181								0.01	0.87	1.32		0.011		0.09		0.09	0.003						0.09	0.06			0.37		0.04									0.11		0.06	0.06			0.01	
MBH C7G		0.05	0.01		0.001			2.83	0.005		0.01	0.11	0.18	0.15		93.161								0.01	2.21	0.08		0.04		0.12		0.028	0.001						0.034	0.005			0.8		0.01									0.005		0.01	0.13			0.01	
MBH C8H		0.07	0.06		0.046			2.81	0.00005		0.01	0.15	0.25	0.28		91.90995								0.01	0.61	0.21		0.01		0.28		1	0.002						0.194	0.068			1.75		0.12									0.12		0.02	0.01			0.01	
MBH C8S		0.01	0.078		0.046		0.023	3.06				0.409	0.31	0.443		92.2616									0.371	0.201	0.0046	0.027		0.613		0.117	0.025						0.205	0.073		0.022	1.42		0.111							0.005		0.082		0.0374	0.041		0.0038	0.0006	
MBH C8T		0.016	0.077		0.0409		0.041	3.03				0.174	0.501	0.317		91.6451									0.486	0.158	0.0075	0.082		0.32		0.843	0.023						0.189	0.068		0.073	1.61		0.091							0.0043		0.115		0.0637	0.0175		0.007		
MBH C9A		0.023	0.038				0.018	3.18				0.1	1.2	0.11		89.535									2.05	0.147	0.015	0.06		1.57		0.053	0.002						0.025	0.1			1.31		0.048							0.019		0.06		0.3	0.035		0.002		
MBH CESU604											0.496					99.504																																													
MBH FENI20B		0.018						0.0137				0.994	0.102	0.074		77.571									0.0284					20.06		0.01							0.0089				1.12																		
MBH FENI25B		0.103						0.0084				0.746	0.0334	0.035		73.3521									0.0121					25.1		0.011							0.58				0.019																		
MBH FENI35B		0.042						0.0418				0.347	0.087	0.044		63.6792									0.162					35.21		0.029							0.119				0.239																		
MBH FENI40B		1.18						0.045				0.858	0.0446	0.0517		56.0312									0.081					40.57		0.0185							1.09				0.03																		
MBH FENI45B		0.552						0.0045				0.654	0.048	0.078		52.802									0.0149					45.2		0.0416							0.038				0.567																		
MBH FENI50B		0.052						0.0488				0.499	0.093	0.105		48.5253									0.115					50.09		0.0259							0.243				0.203																		
MBH HPC1								2.9								92.598									0.39							0.9							0.012				3.2																		
MBH HPC2								3.29								91.712									0.85							1.7							0.048				2.4																		
MBH HPC3								3.33								91.48									1.32							2.35							0.12				1.4																		
MBH HPC3/H4								3.77								91.3227									1.316							1.96							0.0513				1.58																		
MBH HPC3F		0.002	0.007		0.0005			3.21				0.015	0.07	0.06		90.9075								0.0001	1.39	0.006		0.002		0.06		2.32	0.001						0.053	0.0008			1.74		0.005									0.12		0.03	0.0001				
MBH HPC4								3.75								92.38									0.67							2.08							0.22				0.9																		
MBH LA2D		1.377	0.298					0.157					0.868	0.778		93.9467									0.569	0.138	0.0186			0.728		0.034							0.043				0.976													0.0687					
MBH MN1AB		0.005						0.43					1.24	0.05		74.648									22.3	0.407	0.015			0.09		0.009							0.004				0.79		0.007											0.005					
MBH MN2M		0.004	0.009					1.023				0.01	0.341	0.195		84.391									10.39	1.23	0.014	0.02		0.55		0.013							0.008				1.634		0.056						0.012					0.1					
MBH MN3M		0.02						0.907					0.508	0.104		84.013									12.502	0.247				0.271		0.059							0.016				1.318		0.021											0.014					
MBH MN4C		0.01						1.31					2.25	0.46		78.903									13.9	0.8				1.17		0.045							0.017				1.04		0.025											0.07					
MBH MN4R		0.005						1.38					2.29	0.27		74.408									18.6	0.8				1.32		0.042							0.053				0.78		0.03											0.022					
MBH MN5B		0.01						1.74					3.58	0.55		80.716									8.3	1.96				1.53		0.029							0.062				1.5		0.013											0.01					
MBH MSFM/1F								0.16								97.096									1.44	0.27						0.058							0.426				0.55																		
MBH MSFM/1J		0.0024						0.0098				0.0019	0.017	0.0056		97.7793									1.109	0.249	0.006			0.0205		0.0778							0.364				0.351		0.0041											0.0026					
MBH MSFM/3F		0.035	0.003					0.55					0.055	0.008		96.2612									2.1	0.27	0.0078	0.003		0.025		0.06							0.087				0.52											0.005		0.005	0.005				
MBH NSA1C								0.13					21.2			67.038									0.43	2.48	0.052			8.25													0.42																		
MBH NSA2C								0.19					17.7			68.58									0.81	1.85	0.15			9.95													0.77																		
MBH NSA2F								0.15					18.1			68.424									0.6	1.78	0.136			10.3													0.51																		
MBH NSA3E								0.18					15.74			69.15									0.7	2.48	0.22			11.04													0.49																		
MBH NSA3J								0.16					16.1			67.1									1.07	2.8	0.2			12													0.57																		
MBH NSB1C								0.23					19			69.49									0.59	0.14	0.05			10.1													0.4																		
MBH NSB2A								0.05					17.56			70.14									0.6	0.19	0.09			10.86													0.51																		
MBH NSB2C								0.04					19.38			67.31									0.58	0.21	0.16			11.64													0.68																		
MBH NSB3A								0.1					16.82			70.75									0.48	0.44	0.21			10.68													0.52																		
MBH NSB3C								0.2					16.8			71.77									0.6	0.57	0.23			9.05													0.78																		
MBH NSC1A								0.29					20.26			65.005									7.49		0.065	1.33		5.34													0.22																		
MBH NSC1D								0.32					20.48			65.728									5.85		0.054	1.56		5.38									0.008				0.62																		
