Sample Name	Ag	Al	As	Au	B	Ba	Bi	C	Ca	Cd	Ce	Co	Cr	Cu	ENA	Fe	Ga	Ge	H	Hf	Hg	In	La	Mg	Mn	Mo	N	Nb	Nd	Ni	O	P	Pb	Pd	Pr	Pt	Re	Rh	S	Sb	Sc	Se	Si	Sm	Sn	Sol_Al	Sol_B	Sol_Ca	Sol_Ti	Sr	Ta	Te	Th	Ti	Tl	V	W	Y	Zn	Zr	Column1
AMK 22-6025-2		0.24						0.07					0.023	0.033		98.0394									0.065	0.478		0.0013		1.02		0.004	0.0008						0.019				0.004		0.0013											0.001			0.0002		
ARL FE13	0.019	0.95	0.0029	0.032	0.0002		0.00015	0.46	0.002		0.0015	0.0015	0.035	0.013		97.58658							0.00007	0.0016	0.57	0.018	0.0025	0.0012	0.0002	0.0057	0.023	0.026	0.0004		0.006				0.009	0.0023		0.0014	0.105	  0.05000000	0.0025						0.0001	0.0008		0.0008		0.0025	0.065		0.0011	0.001	
ARL FE14	0.03	0.03	0.007		0.0001		0.0001	0.33			0.0017	0.0065	0.14	0.105		97.87448							0.0005	0.0015	1.02	0.023	0.0033	0.0013	0.0003	0.052		0.015	0.00012		0.005				0.018	0.0012	0.001	0.0014	0.24		0.007						0.0004	0.0003		0.002		0.0017	0.0011		0.004	0.075	
ARL FE15		1.01	0.003		0.00015		0.00015	0.41	0.00008		0.0015	0.001	0.033	0.012		97.7509							0.00012	0.001	0.59	0.018		0.001		0.005		0.025	0.0002						0.011	0.0025		0.0002	0.11		0.0022						0.0002	0.0001		0.001		0.0023	0.007		0.0004	0.001	
ARL FE16		0.98	0.0028		0.00015		0.0002	0.42			0.0011	0.0015	0.03	0.005		97.7399							0.0001	0.0015	0.605	0.019		0.0013	0.0008	0.0042		0.035	0.001		0.002				0.0026	0.0025		0.0017	0.125	  0.00190000	0.0018						0.00015	0.0008		0.0009		0.0034	0.006		0.0012	0.0015	
ARL FE17	0.023	1.01	0.0028		0.00015		0.00025	0.39	0.0005		0.0033	0.0015	0.029	0.039		97.6467							0.0003	0.003	0.51	0.017		0.0016	0.0021	0.0048		0.016	0.0005		0.008				0.0011	0.0015		0.001	0.1	  0.08000000	0.0026						0.0001	0.0011		0.0011		0.002	0.002		0.003	0.095	
ARL FE18	0.011	0.78	0.003		0.00013		0.0002	0.49	0.0002		0.003	0.0015	0.037	0.011		97.77477							0.0002	0.003	0.56	0.015		0.0013	0.008	0.0105		0.016	0.0003		0.003				0.005	0.0008		0.001	0.11	  0.01200000	0.0018						0.0001			0.0007		0.002	0.04		0.0025	0.095	
ARL FE19		0.03	0.005	0.031	0.0001		0.0001	1.57		  0.00010000	0.002	0.0045	0.11	0.08		96.7789							0.0001	0.0012	0.79	0.021	0.003	0.0012	0.0001	0.038		0.031	0.0005		0.0047				0.022	0.001			0.37		0.006							0.0003		0.01		0.0065	0.0012		0.0025	0.078	
ARL FE20	0.0002	0.025	0.0041		0.00006		0.0001	0.39	0.0001		0.003	0.0046	0.115	0.069		97.92924							0.0001	0.0018	0.95	0.027	0.003	0.0013		0.045		0.014	0.0001		0.0045				0.014	0.0005		0.0014	0.26		0.0054							0.0003		0.0017		0.0019	0.0006		0.007	0.12	
ARL FE21	0.038	0.03	0.007		0.0003		0.0006	0.39	0.001	  0.00020000	0.005	0.007	0.16	3.18		94.5099							0.0001	0.002	1.035	0.029	0.01	0.004		0.062		0.016	0.0019						0.022	0.0013		0.032	0.3		0.0086						0.0001	0.0016		0.0014		0.003	0.021			0.12	
ARL FE22	0.003	0.022	0.0046		0.0007		0.0001	0.37	0.0003		0.002	0.0046	0.12	0.075		97.99535							0.0001	0.002	0.94	0.027	0.003	0.0012	0.0003	0.045		0.015	0.0001		0.0046				0.014	0.0006		0.0006	0.24		0.0056						0.00035	0.0004		0.0015		0.0018	0.0017		0.0025	0.095	
ARL FE23		0.0025	0.002	0.0064	0.0001		0.0001	2.37	0.00004		0.0005	0.0006		0.012		96.78906	0.0019	0.0034					0.0001	0.0007	0.077	0.0205		0.0006	0.001	0.067			0.0001			0.0076			0.041	0.0003			0.56		0.0024						0.0001	0.0001		0.021		0.011	0.0006		0.0002	0.0001	
ARL FE24		0.0075	0.0023		0.00013		0.0001	3.06	0.0043		0.002	0.0005	0.0052	0.011		95.54227		0.0034					0.0001	0.0005	0.65	0.011	0.0001	0.0002		0.0063		0.052	0.0001						0.028	0.0001		0.0016	0.51		0.0019						0.0001	0.0001		0.022		0.014	0.0001		0.0001	0.063	
ARL FE25	0.0008	0.017	0.0025		0.00015		0.0001	2.29	0.0001		0.0005	0.00044	0.056	0.0053		96.23501		0.002					0.0001	0.0008	0.78	0.019	0.0002	0.0009		0.0056		0.046	0.0001						0.045	0.0003			0.46		0.002						0.0001	0.0001		0.016		0.011	0.0005		0.0004	0.002	
ARL FE30	0.00025	0.67	0.036	0.00002	0.0001	  0.00002000	0.0015	0.6	0.0002	  0.00100000	0.0038	0.0026	0.027	0.021		97.56623		0.0092		  0.00005000			0.0004	0.002	0.19	0.003	0.0027	0.001	0.049	0.075	0.0085	0.032	0.1	  0.18000000	0.022				0.0007	0.0006		0.0007	0.1		0.28					  0.00001000	0.0025	0.0013		0.0028		0.0021	0.0026	  0.00002000	0.0013	0.0008	
ARL FE31	0.00014	1.25	0.0032	0.00001	0.0002	  0.00002000	0.0014	0.75	0.0011	  0.00100000	0.005	0.0021	0.017	0.01		97.06476		0.008		  0.00005000			0.0006	0.004	0.25	0.008	0.002	0.0007	0.018	0.11	0.015	0.028	0.036	  0.03000000	0.038				0.0006	0.0025	0.0011	0.0012	0.185		0.14					  0.00005000	0.00006	0.0019		0.0033		0.0025	0.005	  0.00001000	0.0016	0.0009	
ARL FE32		1.45	0.0045		0.0005		0.01	3.7	0.0007		0.0085	0.008	0.043	0.026		93.0712	0.003						0.0011	0.0036	0.51	0.01	0.003	0.0035	0.18	0.053	0.014	0.064	0.009		0.016			0.0037	0.01	0.0022	0.0014	0.0021	0.66		0.014						0.014	0.003		0.031		0.02	0.035		0.0055	0.0055	
ARL FE33	0.03	0.037	0.025		0.0003		0.002	0.31	0.00012	  0.00260000	0.0031	0.006	0.15	2.85		93.95128		0.005					0.00015	0.00015	0.98	0.28	0.0049	0.0025	0.001	0.061	0.0075	0.012	0.12						0.015	0.002		0.013	0.29		0.75						0.0024	0.002		0.0014		0.0026	0.021		0.003	0.056	
ARL FE40	0.0012	0.0009	0.0002		0.0001			0.26	0.00005		0.0007	0.004	0.027	0.019		99.45507							0.00013	0.00003	0.023	0.041	0.0015			0.018	0.01	0.0127	0.0045		0.0012				0.004			0.0014	0.066		0.013							0.00007		0.0011		0.013			0.00015	0.021	
ARL FE41		0.08	0.0004		0.00009			0.47	0.0005		0.0012	0.004	0.041	0.018		98.8943							0.00025		0.031	0.063	0.0022	0.0005		0.024	0.01	0.21	0.0009		0.0015				0.0045				0.1		0.017							0.00013		0.005		0.02			0.0004	0.00013	
ARL FE44	0.0004	0.034	0.0004	0.00001	0.0001	  0.00018000	0.00022	0.096	0.002	  0.00005000	0.002	0.0033	0.009	0.006		99.22428		0.0079		  0.00005000			0.0004	0.0003	0.083	0.014	0.0007	0.0002	0.018	0.012	0.0093	0.038	0.041		0.012				0.0004			0.00005	0.024	  0.01100000	0.34					  0.00005000	0.00002	0.00017		0.0015		0.0044	0.0003	  0.00002000	0.0008	0.0025	
ARL FE45	0.00044	0.006	0.0004		0.00008			0.28	0.00009		0.0006	0.0027	0.024	0.012		99.07179							0.00015	0.0001	0.2	0.037	0.0016	0.00035		0.018	0.009	0.12	0.012		0.0026				0.0024				0.045		0.14							0.00005		0.0008		0.012	0.0001		0.0005	0.00025	
ARL FE50	0.032	0.091	0.027	0.00014	0.0004	  0.00002000	0.002	0.178	0.0003	  0.00052000	0.0012	0.015	0.46	0.205		93.58665		0.0065		  0.01600000			0.001	0.0054	0.52	0.26	0.032	0.92	0.00001	1.75		0.013	0.0036		0.00011				0.0025	0.028		0.0033	0.25	  0.00005000	0.012					  0.00130000	0.45	0.004		0.012		1.05	0.04	  0.01200000	0.002	0.006	
ARL FE51	0.067	0.51	0.039		0.0005		0.002	0.19	0.00036		0.0018	0.014	0.66	0.22		91.79614				  0.00330000			0.0009	0.005	1.21	0.09	0.005	1.25		0.21	0.0026	0.015	0.006						0.004	0.035		0.0035	0.35		0.015					  0.00050000	1.8	0.0044		0.019		1.42	0.028	  0.01100000	0.006	0.005	
ARL FE52	0.015	0.13	0.03		0.0005		0.0011	0.305	0.0005		0.0001	0.013	1.02	0.25		92.2017							0.0009	0.008	0.75	0.19	0.025	1.65		0.18	0.0037	0.019	0.005						0.06	0.04		0.002	0.25		0.014						0.75	0.0055		0.019		2.04	0.015		0.003	0.003	
ARL FE53	0.021	0.045	0.025		0.0003		0.0013	0.51	0.0004		0.0004	0.015	0.13	0.215		92.56813		0.0068		  0.00016000			0.001	0.009	0.63	0.031	0.037	2.01	0.00005	0.11		0.14	0.005						0.21	0.054		0.0012	0.18		0.011					  0.00002000	0.55	0.004		0.012		2.45	0.011	  0.00004000	0.003	0.0022	
ARL FE54	0.035	0.009	0.015		0.0002		0.002	0.955	0.0005		0.0014	0.011	1.51	0.11		93.2415							0.0004	0.004	0.36	0.031	0.017	0.45		0.11		0.013	0.004						0.002	0.011		0.0015	0.19		0.008						0.039	0.0035		0.0046		2.85	0.006	  0.00010000	0.002	0.0023	
ARL FEMN42		0.071	0.0013		0.00035			0.004	0.0006			0.003	0.008	0.001		97.33415									2.54	0.003	0.0017	0.0033		0.0035		0.0009							0.0022	0.001			0.006		0.0012									0.0015		0.006	0.0023			0.004	
ARL FEMN43		0.047	0.0009		0.00035			0.004	0.00016			0.003	0.009	0.001		96.82289									3.08	0.0016	0.0016	0.0027		0.0035		0.0007							0.0022	0.0016			0.006		0.0006									0.0008		0.0074	0.0004			0.0026	
ARL IF1		0.004	0.0005		0.002			0.1	0.0006			0.045	30.9	0.13		56.9315									1.9	0.11	0.05	0.005		9.2	0.05	0.017	0.001						0.001	0.009		0.0026	0.45		0.003						0.002			0.007		0.065	0.01		0.0001	0.0037	
ARL IF13		0.005	0.002		0.0005			0.029	0.0004		0.009	0.04	0.055	0.025		63.0789									0.37	0.015	0.0043	0.002		36.1	0.0019	0.0024							0.004				0.205		0.0015						0.0056			0.005		0.002	0.03			0.0065	
ARL IF1389		0.07	0.0018		0.0055		0.0007	0.04	0.0006			0.0036	0.043	0.065		94.3539								0.0002	1.1	0.0037	0.0025	0.0017		0.1	0.0055	0.02	0.0012						0.03	0.022			4.1		0.0065						0.0058			0.01		0.0018	0.0001		0.0014	0.0035	
ARL IF1390		0.0068	0.0062		0.022		0.0008	0.03	0.0018			0.008	0.64	0.35		93.1721								0.0004	2	0.016	0.0055	0.0027		0.06	0.0077	0.018	0.0014						0.087	0.012			3.4		0.1									0.037		0.0055	0.0046		0.0011	0.0034	
ARL IF149		0.13	0.07		0.012		0.001	0.99	0.0006			0.8	1.3	0.6		90.3264								0.0005	0.9	0.52	0.003	0.32		0.73	0.012	0.085	0.014						0.09				1		0.06									0.5		0.55	0.93		0.0055	0.05	
ARL IF15		0.005	0.0022					0.035	0.001		0.009	0.061	0.035	0.05		63.5367									0.37	0.037	0.0035			35.6		0.003							0.002				0.19		0.002						0.0055			0.0051		0.005	0.036			0.006	
ARL IF16		0.004	0.0021		0.0004			0.03	0.0003		0.009	0.027	0.035	0.028		63.5675									0.32	0.0065	0.005	0.002		35.7		0.0028							0.001				0.2		0.0022						0.0052			0.005		0.005	0.036			0.006	
ARL IF17		0.0047	0.0023					0.032	0.0002		0.009	0.17	0.088	0.045		62.9976									0.36	0.083	0.003			35.9	0.0015	0.0017							0.0013				0.24		0.0023						0.0064			0.005		0.005	0.036			0.006	
ARL IF18		0.0035	0.0025					0.031	0.00045		0.009	0.075	0.059	0.045		63.21975									0.35	0.016	0.0033			35.9	0.0031	0.003							0.0011				0.22		0.0018						0.006			0.0048		0.005	0.035			0.0057	
ARL IF2		0.85	0.0015		0.0004		0.0007	0.016	0.0007			0.018	12.5	0.017		76.0413									0.038	2.1	0.0022	0.002		8.25		0.004	0.0009						0.0015	0.003		0.003	0.043		0.005						0.006			0.075		0.0015	0.013		0.0011	0.0052	
ARL IF23		0.006	0.0031					0.026	0.0003		0.009	0.042	0.118	0.066		63.4649									0.33	0.0098	0.0035			35.7	0.001	0.0035							0.0017				0.16		0.0022						0.0055			0.005			0.036			0.0065	
ARL IF27		0.005	0.0023		0.0005			0.037	0.0003		0.009	0.23	0.11	0.045		63.1608									0.35	0.102	0.0055			35.7		0.0015							0.0011				0.18		0.002						0.006			0.005		0.005	0.036			0.006	
ARL IF28		0.0045	0.0021		0.0004			0.029	0.0005		0.009	0.021	0.045	0.04		63.3252									0.35	0.006	0.0051			35.9		0.0026							0.0015				0.2		0.0024						0.004			0.005		0.005	0.036			0.0057	
ARL IF29		0.0051	0.002		0.0004			0.033	0.004		0.009	0.029	0.05	0.035		63.3731									0.35	0.0055	0.0056			35.85		0.003							0.003				0.185		0.0025						0.005			0.003		0.005	0.036			0.0058	
ARL IF3		1	0.0015		0.0001		0.0001	0.017	0.0002			0.012	12.6	0.014		75.9054									0.019	2	0.0035	0.002		8.3		0.003	0.001						0.001	0.0034		0.0036	0.015		0.005						0.006			0.06		0.001	0.02		0.0012	0.005	
ARL IF31		0.005	0.0025					0.032	0.0007		0.009	0.16	0.06	0.04		63.221									0.36	0.05	0.002			35.8		0.0028							0.001				0.195		0.002						0.005			0.005		0.005	0.036			0.006	
ARL IF35		0.0045	0.002					0.031	0.0012		0.009	0.04	0.063	0.045		63.2916									0.34	0.01	0.005			35.9		0.002							0.007				0.19		0.002						0.005			0.005		0.005	0.036			0.0057	
ARL IF36		0.005	0.002					0.03	0.0002		0.009	0.051	0.075	0.1		62.9978									0.35	0.018	0.0052			36.1		0.002							0.0015				0.2		0.002						0.0045			0.005			0.036			0.0058	
ARL IF37		0.004	0.002		0.005			0.23	0.0002			0.008	0.03	0.02		68.3348									1.22	0.004	0.0017			29.9		0.005							0.004				0.145		0.0015						0.0038			0.04		0.005	0.03			0.006	
ARL IF38		0.001	0.0025					0.003	0.0005			0.031	0.023	0.038		89.3316									0.02	0.006	0.013			10.5		0.001							0.0057				0.015		0.0024						0.001			0.0022			0.001			0.0021	
ARL IF39		1.5	0.0022					1.07	0.0002		0.0076	0.02	0.009	0.015		67.6311									0.55	0.015	0.0031			29		0.0036							0.008				0.016		0.003						0.0037			0.0025			0.14				
ARL IF4		0.005	0.0004		0.0013		0.0017	0.11	0.0005			0.055	30.7	0.12		57.2228									1.92	0.17	0.06	0.0055		9.15	0.051	0.018	0.0008						0.0025	0.009			0.31		0.0034						0.0001			0.0045		0.065	0.01		0.0001	0.0034	
ARL IF40		0.002			0.0001			0.03	0.001			26.9482	0.5	0.004		72								0.0004	0.25	0.008	0.01	0.008		0.007		0.0008	0.0025						0.003				0.13		0.005						0.05			0.003		0.001	0.01			0.026	
ARL IF43		0.0034					0.0008	2.05	0.0003			0.49	11.5	0.07		81.1293								0.0006	0.33	0.92	0.1	0.009		0.019		0.02							0.015	0.0093		0.0029	0.031		0.0043									0.002		3.1	0.19			0.0031	
ARL IF5		0.81	0.0014		0.0003		0.0007	0.015	0.0006			0.08	12.6	0.018		75.8638									0.045	2.1	0.0016	0.0019		8.3		0.004	0.0009						0.001	0.0035			0.042		0.0065						0.006			0.08		0.0005	0.011		0.0011	0.0052	
ARL IF6		0.99	0.0012		0.0002		0.0008	0.016	0.0006			0.036	12.6	0.014		75.8829									0.018	2.05	0.0031	0.0013		8.25		0.0035	0.0011						0.0014	0.0032			0.015		0.006						0.006			0.075		0.0005	0.018		0.0012	0.005	
ARL IF7		0.85	0.0015		0.0003		0.0008	0.017	0.0006			0.02	12.5	0.02		75.9485									0.042	2.1	0.002	0.0022		8.33		0.004	0.001						0.001	0.0035			0.045		0.007						0.0058			0.075		0.002	0.014		0.0012	0.0056	
ARL IF8		0.009	0.0031		0.0015		0.0012	0.012	0.0005			0.18	17	2.8		57.5016									0.56	5.2	0.013	0.045		16.1	0.022	0.02	0.0018						0.0028	0.0052			0.38		0.007						0.008			0.005		0.04	0.077		0.0013	0.003	
ARL IF9		0.01	0.0033		0.0015		0.0014	0.016	0.0007			0.51	17	2.85		57.049									0.56	5.2	0.016	0.03		16.2	0.025	0.016	0.002						0.0011	0.005			0.37		0.004						0.008			0.007		0.055	0.055		0.001	0.003	
ARL IF-AB25		0.034	0.0027					0.0011				0.002	0.04	0.04		99.6449									0.13	0.004		0.0035		0.02		0.0035	0.0003						0.011				0.0085		0.0076									0.043		0.003				0.0009	
ARL SIMO42		0.019	0.005					3.46			0.001		0.024	0.04		91.0754								0.06	0.18	0.86		0.002		0.03		0.03	0.0046						0.01	0.004			4.17		0.004									0.011		0.005			0.005		
ASCO 1116-1		0.037	0.275		0.0001			1.91	0.0005			0.012	5.14	0.012		85.6097								0.0165	0.313	0.018	0.0101	0.001		3.93		0.084	0.035						0.008	0.072			2.36		0.081							0.0026		0.057		0.014	0.001		0.0005		
ASCO 4808		0.011	0.017		0.0002		0.0005	1.01				0.011	1.51	0.117		96.5955									0.381	0.023	0.0033	0.001		0.113	0.0008	0.011	0.0011						0.002	0.0011		0.001	0.167		0.009							0.001		0.0011		0.005	0.005			0.0014	
ASCO 4812		0.015	0.017		0.0002		0.0004	0.991				0.011	1.5	0.117		96.6084									0.377	0.023	0.0057	0.001		0.113	0.0017	0.011	0.0012						0.002	0.0009			0.181		0.008							0.002		0.001		0.005	0.005			0.0015	
ASCO 4848		0.016	0.017		0.0002		0.0004	0.997				0.011	1.51	0.116		96.5488									0.379	0.023	0.0061	0.001		0.112	0.0018	0.011	0.0014						0.003	0.001		0.001	0.219		0.009							0.002		0.001		0.005	0.005		0.0004	0.0019	
ASCO 514105		0.033	0.011				0.0005	1.13	0.0002			0.011	1.46	0.091		96.5128									0.284	0.015	0.0125	0.002		0.096	0.0008	0.005	0.0012						0.026	0.0004		0.001	0.286		0.005							0.001		0.0011		0.005	0.006		0.0005	0.002	
ASCO 51907		0.044	0.031		0.0004		0.0007	0.2				0.016	0.7	0.197		96.7004									1.4	0.09	0.0064	0.002		0.227	0.0006	0.013	0.0004						0.03	0.0016			0.304		0.013						0.003	0.002		0.0013		0.006	0.007		0.0009	0.0023	
ASCO 52000		0.021	0.028		0.0005			0.368				0.016	0.194	0.19		96.515									1.89	0.053	0.0153	0.001		0.195	0.002	0.025	0.0003						0.087	0.0012			0.234		0.014							0.006		0.0007		0.139	0.004				
ASCO 52054		0.024	0.024		0.0002		0.0007	0.387				0.014	1.18	0.173		96.6913									0.906	0.037	0.0091	0.002		0.177	0.0009	0.015	0.001						0.029	0.0019		0.001	0.293		0.012						0.002	0.002		0.0012		0.006	0.007		0.0007	0.002	
ASCO 52201		0.016	0.027		0.0003			0.34	0.0001			0.016	0.196	0.225		96.6991									1.76	0.054	0.0136	0.001		0.212	0.0021	0.011							0.066				0.224		0.012							0.004		0.0008		0.116	0.004				
ASCO 52206		0.025	0.032		0.0001		0.0005	0.558	0.0001			0.015	0.185	0.183		97.8943									0.712	0.026	0.0082	0.001		0.117	0.0009	0.009	0.0003						0.033	0.0021			0.172		0.013							0.002		0.0006		0.003	0.005		0.0003	0.0016	
ASCO 52303		0.036	0.018		0.0001		0.0005	0.981	0.0003			0.012	1.43	0.124		96.6382									0.33	0.028	0.0062	0.001		0.117	0.0005	0.01	0.0014						0.007	0.0009		0.002	0.233		0.009							0.002		0.0011		0.004	0.005			0.0018	
ASCO 52509		0.034	0.033		0.0005		0.0006	0.199				0.016	0.698	0.199		96.7123									1.34	0.113	0.0066	0.002		0.258	0.0008	0.014	0.001						0.021	0.0016			0.312		0.014						0.002	0.002		0.0015		0.006	0.009		0.0006	0.0025	
ASCO 52510		0.03	0.031		0.0005		0.0006	0.198				0.015	0.696	0.187		96.7708								0.0006	1.34	0.101	0.008	0.002		0.235	0.0008	0.014							0.026	0.0017			0.308		0.012						0.003	0.002		0.0016		0.005	0.008		0.0003	0.0021	
ASCO 52533		0.029	0.026		0.0003		0.0006	0.192				0.016	0.696	0.216		96.7494									1.34	0.115	0.0074	0.002		0.219	0.0011	0.014	0.0003						0.028	0.0019			0.31		0.013						0.003	0.002		0.0011		0.006	0.008		0.0008	0.0021	
ASCO 52568		0.037	0.026		0.0002		0.0005	1.05	0.0001			0.015	1.41	0.203		96.4205									0.303	0.06	0.0069	0.002		0.15	0.0004	0.013	0.0015						0.026	0.0019		0.002	0.24		0.014							0.002		0.002		0.005	0.006			0.002	
ASCO 52605							0.0004	0.957					1.43	0.16		96.6636									0.315	0.036	0.0064	0.001		0.143	0.0006	0.014							0.015	0.0017		0.001	0.241									0.002		0.0016		0.004	0.005			0.0017	
ASCO 52687		0.029	0.021		0.0003		0.0004	0.323	0.0014			0.011	1.12	0.159		96.9069									0.773	0.182	0.006	0.001		0.081	0.0009	0.011	0.001						0.004	0.0017		0.001	0.263		0.012						0.002	0.001		0.002		0.08	0.004		0.0001	0.0013	
ASCO 52938		0.033	0.024		0.0001		0.0004	0.56	0.0001			0.012	0.126	0.184		97.9973									0.711	0.021	0.0091	0.001		0.108	0.0007	0.011	0.0005						0.026	0.0013			0.149		0.012							0.001		0.0011		0.003	0.004		0.002	0.0014	
ASCO 52952		0.026	0.027		0.0003		0.0007	0.202				0.015	0.709	0.171		96.7816									1.37	0.092	0.0073	0.002		0.219	0.0008	0.012	0.0005						0.019	0.0014			0.312		0.011							0.002		0.0014		0.006	0.008		0.0005	0.0025	
ASCO 52953		0.021	0.027		0.0002		0.0006	0.199				0.016	0.7	0.183		96.7858									1.36	0.09	0.0077	0.002		0.224	0.0012	0.011	0.0001						0.018	0.0015			0.319		0.011						0.003	0.002		0.0016		0.006	0.007		0.0001	0.0022	
ASCO 53115		0.038	0.011				0.0005	1.01				0.008	1.42	0.07		96.7084									0.336	0.018	0.0075	0.001		0.072	0.0005	0.008	0.0012						0.03	0.0004		0.001	0.239		0.006							0.001		0.0007		0.005	0.005		0.0002	0.0016	
ASCO BI115		0.0215	0.01		0.0003		0.115	0.205	0.0004			0.014	0.464	0.13		97.326									0.88	0.431	0.0092	0.002		0.115		0.0082	0.0015						0.037	0.0014			0.2		0.0135									0.002		0.002	0.007		0.003	0.001	
ASCO CA01		0.504	0.013		0.0002			0.373	0.0003			0.057	0.552	0.828		91.868								0.0002	0.417	1.026	0.008	0.006		4.06		0.026	0.0002						0.022	0.0001			0.147		0.003							0.0005		0.031		0.056	0.001		0.0005		
ASCO E645		0.003	0.0065		0.0002			0.242	0.0004			0.034	1.62	0.002		92.8287								0.0001	0.43	0.929	0.0086	0.005		3.405		0.011	0.0006						0.008	0.0008			0.408		0.003							0.0005		0.0243		0.012	0.016		0.0013		
ASCO E648		0.002	0.027		0.0001			0.203	0.0005			0.015	2.06	0.042		94.4252								0.0001	0.582	0.095	0.0135	0.002		2.04		0.003	0.046						0.018	0.0017			0.409		0.003							0.0008		0.0011		0.007	0.002		0.001		
ASCO E686		0.01	0.109		0.0002			0.213	0.0002			0.018	0.367	0.906		97.0339								0.0001	0.394	0.218	0.0113	0.001		0.481		0.004	0.0005						0.018	0.0015			0.052		0.153							0.0005		0.0003		0.002	0.005		0.0005		
ASCO S131		0.002						0.36					0.2	0.12		97.2551									1.51	0.04	0.006	0.0023		0.13		0.013	0.0001						0.131				0.22		0.0074									0.0016		0.0015					
ASCO S141		0.0017						0.15					0.1	0.125		98.1228									1.05	0.02	0.0072	0.002		0.09		0.01	0.0005						0.141				0.17		0.008									0.0013		0.0005					
ASCO S215		0.0016						0.37					0.15	0.125		97.9436									0.85	0.015	0.0066	0.0018		0.076		0.019	0.0006						0.215				0.216		0.0072									0.0016		0.001					
ASCO S221		0.002						0.37					0.14	0.12		97.9323									0.86	0.011	0.0063	0.0018		0.073		0.021	0.0007						0.221				0.23		0.0072									0.0027		0.001					
ASCO S222		0.0015						0.36					0.152	0.1155		97.9397									0.85	0.023	0.0058	0.0019		0.082		0.012	0.0007						0.222				0.223		0.0086									0.0015		0.0008					
ASCO S270		0.0017						0.19					0.185	0.2		97.2414									1.437	0.033	0.0057	0.0026		0.12		0.012	0.069						0.27				0.215		0.015									0.0012		0.0014					
ASCO S273		0.0018						0.45					0.16	0.109		97.1395									1.51	0.014	0.0059	0.0024		0.098		0.022	0.0006						0.273				0.2		0.011									0.0012		0.0016					
ASCO S275		0.0017						0.447					0.13	0.16		97.0007									1.49	0.018	0.0158	0.0025		0.1		0.01	0.0332						0.275				0.22		0.01									0.0011		0.085					
ASCO S278		0.002						0.33					0.154	0.127		97.4999									1.22	0.043	0.0055	0.0022		0.111		0.01	0.032						0.278				0.173		0.0095									0.0016		0.0013					
ASCO S339		0.0011						0.103					0.146	0.23		97.4126									1.372	0.046	0.0094	0.0025		0.23		0.079	0.0005						0.339				0.0128		0.0142									0.0009		0.001					
ASCO S73		0.01						0.33					0.18	0.12		96.9775									1.52	0.014	0.0135	0.002		0.09		0.013							0.073				0.55		0.01									0.017		0.08					
ASCO S81		0.015						0.41					1.03	0.22		96.8669									0.8	0.16	0.008	0.002		0.16		0.01	0.0001						0.081				0.22		0.012									0.003		0.002					
ASCO S84-1		0.018						0.43					0.18	0.2		97.3669									1.13	0.045	0.075	0.0015		0.16		0.01	0.0001						0.084				0.28		0.017									0.0015		0.001					
ASCO S84-2		0.018						0.46					0.16	0.12		97.5407									1.2	0.026	0.0072	0.002		0.1		0.01	0.0001						0.084				0.26		0.009									0.002		0.001					
ASCO S88		0.016						0.42					0.15	0.155		97.5443									1.18	0.033	0.0064	0.002		0.106		0.016	0.0001						0.088				0.27		0.01									0.002		0.0012					
ASCO ST4-1		1.12	0.0025		0.0003			1.44	0.0004			0.486	5.14	0.005		88.538								0.0002	0.383	1.49	0.01	0.159		0.006		0.003	0.0083						0.014	0.0025		0.087	0.033		0.001						0.023	0.0005		0.0048		0.543	0.499		0.0005		
ASCO ST4-2		0.432	0.0035		0.0005			1.079	0.0002			0.023	1.95	0.662		94.6885								0.0001	0.425	0.018	0.0117	0.002		0.163		0.057	0.067						0.102	0.038		0.053	0.104		0.003							0.005		0.01		0.012	0.09		0.0005		
ASCO ST5-1		0.116	0.093		0.0003			0.465	0.0003			0.057	5.015	0.417		88.6006								0.0003	1.022	1.163	0.0101	0.278		0.967		0.038	0.0037						0.038	0.0043			1.195		0.0499							0.0005		0.029		0.425	0.009		0.003		
ASCO TA65		0.024	0.033		0.0002			0.466	0.0015			0.017	0.186	0.218		96.6535								0.0001	1.63	0.026	0.0119	0.05		0.126		0.013	0.0005						0.069	0.0143			0.296		0.025							0.009		0.002		0.124	0.003		0.001		
ASCO UF04		0.03	0.027		0.0004			0.153	0.0002			0.072	0.747	0.414		94.8882								0.0002	0.545	0.033	0.0078	0.003		2.716		0.017	0.0005						0.005	0.0179			0.228		0.087							0.001		0.0013		0.004	0.001		0.0005		
AVESTA A2			0.009					0.327			0.06	0.13	21.8	0.17		59.113									1	0.35	0.208	0.066		15		0.022							0.003				1.66		0.008									0.019		0.035	0.02				
AVESTA B1			0.009					0.167			0.054	0.12	21.3	0.55		60.21801									1.05	1.11	0.196	0.034		13.5		0.026							0.002				1.53		0.036									0.01		0.038	0.05				
AVESTA B3			0.008					0.195			0.043	0.11	22.3	0.16		60.451									1.34	0.63	0.163	0.111		12.7		0.024							0.005				1.64		0.011									0.028		0.061	0.02				
AWU 13								0.168					0.08	0.125		98.4747									0.58	0.018				0.065		0.022	0.0023						0.225				0.24																		
AWU 14								0.165					0.08	0.12		98.4882									0.6	0.018				0.065		0.022	0.0018						0.22				0.22																		
AWU 17								0.2					0.09	0.12		98.4467									0.57	0.018				0.06		0.034	0.0013						0.24				0.22																		
