Elem_name	ion.state	Wl	Ei	Ek	Ak	gi	gk	lineLeft	lineRight	bgrLeft	bgrRight	coment
Al	II	299.64	13.07308	17.21085	5440000	3	5					
Al	II	299.902	13.076729	17.210881	7260000	5	7					
Al	II	302.367	13.071347	17.171798	2680000	1	3					
Al	II	302.496	13.07308	17.171798	8020000	3	3					
Al	II	302.764	13.076729	17.171798	13300000	5	3					
Al	II	307.558	13.649399	17.680649	9020000	5	7					
Al	I	308.305	0	4.0214836	58700000	2	4					
Al	II	308.941	13.25646	17.269654	10800000	3	5					
Al	I	309.361	0.0138938	4.0216502	72900000	4	6					
Al	I	309.374	0.0138938	4.0214836	11600000	4	4					
Al	II	327.671	11.821968	15.6057689	7410000	1	3					
Al	II	331.43	11.846618	15.5875046	1330000	7	5					
Al	II	331.584	11.846753	15.5859083	1180000	5	3					
Al	II	331.656	11.846869	15.585203	1580000	3	1					
Al	II	335.242	13.649399	17.347743	10400000	5	3					
Al	II	342.988	13.649399	17.2642222	5780000	5	7					
Al	II	358.758	11.846618	15.302546	235000000	7	9					
Al	II	358.794	11.846618	15.302186	26200000	7	7					
Al	II	358.809	11.846753	15.302186	209000000	5	7					
Al	II	358.821	11.846618	15.301941	1030000	7	5					
Al	II	358.835	11.846753	15.301941	36600000	5	5					
Al	II	358.847	11.846869	15.301941	197000000	3	5					
Al	II	365.024	13.071347	16.467947	12600000	1	3					
Al	II	365.212	13.07308	16.467928	17000000	3	5					
Al	II	365.603	13.076729	16.46794	22600000	5	7					
Al	II	370.427	13.25646	16.6035135	32300000	3	5					
Al	II	373.301	13.071347	16.3926349	4950000	1	3					
Al	II	373.497	13.07308	16.3926349	14800000	3	3					
Al	II	373.908	13.076729	16.3926349	24600000	5	3					
Al	II	386.726	13.25646	16.4624524	42600000	3	1					
Al	I	394.512	0	3.1427212	49900000	2	2					
Al	I	396.264	0.0138938	3.1427212	98500000	4	2					
Al	II	399.697	15.062034	18.163991	7050000	7	9					
Al	II	399.727	15.062086	18.163808	6260000	5	7					
Al	II	399.745	15.062086	18.163673	1100000	5	5					
Al	II	399.75	15.0621276	18.163673	5910000	3	5					
Al	II	402.76	13.649399	16.727874	11600000	5	3					
Al	II	422.8	15.062034	17.994485	9370000	7	9					
Al	II	422.861	15.062034	17.994066	1040000	7	7					
Al	II	422.868	15.062086	17.994066	8310000	5	7					
Al	II	422.914	15.062086	17.993766	1460000	5	5					
Al	II	422.919	15.0621276	17.993766	7850000	3	5					
Al	II	434.812	15.301941	18.15338	4180000	5	7					
Al	II	458.71	15.062034	17.764921	10000000	7	9					
Al	II	458.937	15.062034	17.763571	1120000	7	7					
Al	II	458.948	15.062086	17.763571	8910000	5	7					
Al	II	459.096	15.062086	17.762699	1560000	5	5					
Al	II	459.103	15.0621276	17.762699	8410000	3	5					
Al	II	466.436	10.598337	13.25646	58100000	5	3					
Al	II	528.009	15.585203	17.93332	1110000	1	3					
Al	II	528.168	15.5859083	17.933345	1490000	3	5					
Al	II	528.52	15.5875046	17.933378	2000000	5	7					
Al	II	528.731	15.6057689	17.950709	3280000	3	5					
Al	II	538.998	15.0475561	17.347743	1430000	1	3					
Al	II	559.486	13.25646	15.4725	92600000	3	5					
Al	II	561.485	15.4725	17.680649	3430000	5	7					
Al	II	585.524	15.062034	17.17947	12800000	7	9					
Al	II	586.315	15.062086	17.17663	11400000	5	7					
Al	II	586.944	15.0621276	17.17446	10700000	3	5					
Al	II	597.363	15.6057689	17.681296	5810000	3	5					
Al	II	600.141	15.585203	17.651077	2070000	1	3					
Al	II	600.342	15.5859083	17.651096	2790000	3	5					
Al	II	600.354	15.5859083	17.651077	1550000	3	3					
Al	II	600.807	15.5875046	17.651132	3710000	5	7					
Al	II	606.28	15.6057689	17.65077	8380000	3	1					
Al	II	607.015	15.5859083	17.628438	2660000	3	3					
Al	II	607.488	15.5875046	17.628438	4430000	5	3					
Al	II	618.334	15.301941	17.30709	24100000	5	7					
Al	II	622.79	13.071347	15.0621276	62500000	1	3					
Al	II	623.347	13.07308	15.062086	84000000	3	5					
Al	II	624.509	13.076729	15.062034	111000000	5	7					
Al	II	633.745	13.649399	15.6057689	15300000	5	3					
Al	II	661.147	15.4725	17.347743	2200000	5	3					
Al	I	669.786	3.1427212	4.993821	1000000	2	4					
Al	I	670.052	3.1427212	4.9930889	1000000	2	2					
Al	II	681.857	13.071347	14.8896243	12000000	1	3					
Al	II	682.536	13.07308	14.8896243	35900000	3	3					
Al	II	683.903	13.076729	14.8896243	59400000	5	3					
Al	I	690.83	4.0216502	5.816394	1150000	6	8					
Al	II	691.984	15.4725	17.2642222	9900000	5	7					
Al	II	692.187	13.25646	15.0475561	100000000	3	1					
Al	II	704.4	11.316596	13.076729	57800000	3	5					
Al	II	705.855	11.316596	13.07308	57400000	3	3					
Al	II	706.559	11.316596	13.071347	57300000	3	1					
Al	I	708.592	4.0214836	5.7712093	1540000	4	6					
Al	I	708.66	4.0216502	5.7712093	1650000	6	8					
Al	I	736.36	4.0214836	5.7052289	2320000	4	6					
Al	I	736.432	4.0216502	5.7052289	2490000	6	8					
Al	II	745.147	15.6057689	17.269654	11600000	3	5					
Al	II	747.347	13.649399	15.30839	55700000	5	7					
Al	II	762.658	15.585203	17.21085	4590000	1	3					
Al	II	762.995	15.5859083	17.21085	6200000	3	5					
Al	II	763.743	15.5875046	17.210881	8250000	5	7					
Al	II	781.446	15.585203	17.171798	1550000	1	3					
Al	II	781.798	15.5859083	17.171798	4640000	3	3					
Al	II	782.587	15.5875046	17.171798	7700000	5	3					
Al	I	783.746	4.0214836	5.6034263	3710000	4	6					
Al	I	783.829	4.0216502	5.6034263	3970000	6	8					
Al	II	808.913	16.6035135	18.136247	2020000	5	7					
Al	II	812.195	16.46794	17.994485	2910000	7	9					
Al	II	812.426	16.467928	17.994066	2580000	5	7					
Al	II	812.575	16.467947	17.993766	2440000	3	5					
Al	II	835.661	15.062034	16.5457	42700000	7	9					
Al	II	836.153	15.062034	16.544833	4750000	7	7					
Al	II	836.179	15.062086	16.544833	37900000	5	7					
Al	II	836.555	15.062086	16.544168	6640000	5	5					
Al	II	836.577	15.0621276	16.544168	35800000	3	5					
Al	II	864.308	11.821968	13.25646	30000000	1	3					
Al	II	867.359	16.544168	17.97363	5520000	5	7					
Al	I	877.528	4.0214836	5.4343639	6470000	4	6					
Al	I	877.63	4.0216502	5.4343644	6950000	6	8					
Al	I	884.37	4.0872183	5.4891689	1340000	4	2					
Ag	II	155.519	9.94061414	17.913044	43000000	5	7					
Ag	II	160.124	10.18799633	17.931111	63000000	7	5					
Ag	II	160.788	10.77275131	18.483919	52000000	5	3					
Ag	II	164.45	10.37371438	17.913044	71000000	9	7					
Ag	II	166.535	11.05129731	18.496233	71000000	7	5					
Ag	II	168.284	10.56354748	17.931111	38000000	5	5					
Ag	II	171.544	11.26865627	18.496233	34000000	5	5					
Ag	II	172.361	10.71975452	17.913044	36000000	7	7					
Ag	II	193.349	4.85621528	11.26865627	23000000	7	5					
Ag	II	199.432	5.05178168	11.26865627	40800000	5	5					
Ag	II	200.133	4.85621528	11.05129731	17500000	7	7					
Ag	II	201.656	5.05178168	11.20009665	37000000	5	3					
Ag	II	203.458	5.05178168	11.14562618	24000000	5	3					
Ag	I	206.182	0	6.01333411	3100000	2	4					
Ag	II	206.657	5.05178168	11.05129731	47000000	5	7					
Ag	I	207.05	0	5.98811517	1500000	2	2					
Ag	II	207.62	10.36824241	16.33991721	120000000	3	5					
Ag	II	211.207	9.94061414	15.81089683	10000000	5	5					
Ag	II	211.449	4.85621528	10.71975452	301000000	7	7					
Ag	II	212.111	5.42340791	11.26865627	119000000	3	5					
Ag	II	212.147	10.36824241	16.21250816	150000000	3	3					
Ag	II	212.609	9.94061414	15.77216857	147000000	5	7					
Ag	II	212.971	10.56354748	16.38520785	76000000	5	5					
Ag	II	214.621	9.94061414	15.71751387	130000000	5	3					
Ag	II	214.628	5.42340791	11.20009665	378000000	3	3					
Ag	II	214.638	9.94061414	15.71703894	520000000	5	5					
Ag	II	216.672	5.42340791	11.14562618	170000000	3	3					
Ag	II	216.719	5.05178168	10.77275131	60000000	5	5					
Ag	II	217.147	10.56354748	16.2732362	160000000	5	7					
Ag	II	217.237	4.85621528	10.56354748	3900000	7	5					
Ag	II	218.745	5.05178168	10.71975452	72700000	5	7					
Ag	II	220.272	9.94061414	15.5692977	670000000	5	3					
Ag	II	220.424	10.68000943	16.30480387	210000000	1	3					
Ag	II	220.499	10.18799633	15.81089683	56000000	7	5					
Ag	II	220.656	10.18799633	15.80688117	250000000	7	7					
Ag	II	220.909	10.77275131	16.38520785	190000000	5	5					
Ag	II	221.1	9.94061414	15.54822375	3000000	5	5					
Ag	II	222.028	10.18799633	15.77216857	73000000	7	7					
Ag	II	222.669	10.36824241	15.9363254	610000000	3	1					
Ag	II	223.021	5.70935604	11.26865627	209000000	5	5					
Ag	II	224.102	10.68000943	16.21250816	190000000	1	3					
Ag	II	224.12	10.77275131	16.30480387	42000000	5	3					
Ag	II	224.242	10.18799633	15.71703894	47000000	7	5					
Ag	II	224.414	11.14562618	16.6704132	430000000	3	1					
